TenantId,ActionType,AdditionalFields,AppGuardContainerId,DeviceId,DeviceName,InitiatingProcessAccountDomain,InitiatingProcessAccountName,InitiatingProcessAccountObjectId,InitiatingProcessAccountSid,InitiatingProcessAccountUpn,InitiatingProcessCommandLine,InitiatingProcessFileName,InitiatingProcessFolderPath,InitiatingProcessId,InitiatingProcessIntegrityLevel,InitiatingProcessMD5,InitiatingProcessParentFileName,InitiatingProcessParentId,InitiatingProcessSHA1,InitiatingProcessSHA256,InitiatingProcessTokenElevation,InitiatingProcessFileSize,InitiatingProcessVersionInfoCompanyName,InitiatingProcessVersionInfoProductName,InitiatingProcessVersionInfoProductVersion,InitiatingProcessVersionInfoInternalFileName,InitiatingProcessVersionInfoOriginalFileName,InitiatingProcessVersionInfoFileDescription,LocalIP,LocalIPType,LocalPort,MachineGroup,Protocol,RemoteIP,RemoteIPType,RemotePort,RemoteUrl,ReportId,TimeGenerated,Timestamp,InitiatingProcessParentCreationTime,InitiatingProcessCreationTime,InitiatingProcessSessionId,IsInitiatingProcessRemoteSession,InitiatingProcessRemoteSessionDeviceName,InitiatingProcessRemoteSessionIP,InitiatingProcessUniqueId,SourceSystem,Type
tenant-lab-001-a000-0000-0000-000000000001,ConnectionSuccess,"{""BenignUpdate"":true}",,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,creditsafe.com,jordan.velez,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,S-1-5-21-1000000000-2000000000-3000000000-104421,jordan.velez@creditsafe.com,Code.exe network activity,Code.exe,C:\Program Files,4300,High,,explorer.exe,4200,7a3f9c2e1b8d4f6a0c5e9d3b7a2f1c8e4d6b9a0,a7f3c91e2b8d4f6a0c1e5d9b3a7f2c8e1d4b6a9f0c3e7d2b5a8f1c4e9d6b3a7f2,None,0,Microsoft Corporation,Code.exe,10.0,Code.exe,Code.exe,Code.exe,10.24.18.55,Private,52000,Engineering-Developers,Tcp,198.51.100.10,Public,443,https://update.code.visualstudio.com,8829100000500,2026-05-28T08:05:30Z,2026-05-28T08:05:30Z,2026-05-28T08:05:30Z,2026-05-28T08:05:30Z,1,0,,,ip-code-net,Detection,DeviceNetworkEvents
tenant-lab-001-a000-0000-0000-000000000001,ConnectionSuccess,"{""PackageDownload"":true}",,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,creditsafe.com,jordan.velez,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,S-1-5-21-1000000000-2000000000-3000000000-104421,jordan.velez@creditsafe.com,node.exe network activity,node.exe,C:\Program Files,4301,High,,explorer.exe,4200,7a3f9c2e1b8d4f6a0c5e9d3b7a2f1c8e4d6b9a0,a7f3c91e2b8d4f6a0c1e5d9b3a7f2c8e1d4b6a9f0c3e7d2b5a8f1c4e9d6b3a7f2,None,0,Microsoft Corporation,node.exe,10.0,node.exe,node.exe,node.exe,10.24.18.55,Private,52001,Engineering-Developers,Tcp,198.51.100.22,Public,443,https://pkg-cache-lab.invalid/v2/registry/@labdev/telemetry-helper/-/telemetry-helper-2.1.4.tgz,8829100000501,2026-05-28T09:10:40Z,2026-05-28T09:10:40Z,2026-05-28T09:10:40Z,2026-05-28T09:10:40Z,1,0,,,ip-npm-pkg,Detection,DeviceNetworkEvents
tenant-lab-001-a000-0000-0000-000000000001,ConnectionSuccess,"{""BytesOut"":2048,""ProvesExfiltration"":false}",,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,creditsafe.com,jordan.velez,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,S-1-5-21-1000000000-2000000000-3000000000-104421,jordan.velez@creditsafe.com,powershell.exe network activity,powershell.exe,C:\Program Files,4302,High,,explorer.exe,4200,4e9d6b3a7f2c8e1d5b9a0f3c7e2d8b5a1f6c4e9,c4e9d6b3a7f2c8e1d5b9a0f3c7e2d8b5a1f6c4e9d3b7a2f8c1e5d9b6a3f7c2e8,None,0,Microsoft Corporation,powershell.exe,10.0,powershell.exe,powershell.exe,powershell.exe,10.24.18.55,Private,52002,Engineering-Developers,Tcp,203.0.113.47,Public,443,https://update-cdn-lab.example/sync/v1/channel,8829100000502,2026-05-28T09:16:44Z,2026-05-28T09:16:44Z,2026-05-28T09:16:44Z,2026-05-28T09:16:44Z,1,0,,,ip-ps-c2,Detection,DeviceNetworkEvents
tenant-lab-001-a000-0000-0000-000000000001,ConnectionFailed,"{""BlockedBy"":""NetworkProtection"",""Error"":""ConnectionBlocked""}",,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,creditsafe.com,jordan.velez,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,S-1-5-21-1000000000-2000000000-3000000000-104421,jordan.velez@creditsafe.com,powershell.exe network activity,powershell.exe,C:\Program Files,4303,High,,explorer.exe,4200,4e9d6b3a7f2c8e1d5b9a0f3c7e2d8b5a1f6c4e9,c4e9d6b3a7f2c8e1d5b9a0f3c7e2d8b5a1f6c4e9d3b7a2f8c1e5d9b6a3f7c2e8,None,0,Microsoft Corporation,powershell.exe,10.0,powershell.exe,powershell.exe,powershell.exe,10.24.18.55,Private,52003,Engineering-Developers,Tcp,203.0.113.99,Public,443,https://exfil-gateway-lab.invalid/upload,8829100000503,2026-05-28T09:17:02Z,2026-05-28T09:17:02Z,2026-05-28T09:17:02Z,2026-05-28T09:17:02Z,1,0,,,ip-ps-blocked,Detection,DeviceNetworkEvents
tenant-lab-001-a000-0000-0000-000000000001,ConnectionSuccess,"{""Benign"":true}",,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,creditsafe.com,jordan.velez,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,S-1-5-21-1000000000-2000000000-3000000000-104421,jordan.velez@creditsafe.com,dotnet.exe network activity,dotnet.exe,C:\Program Files,4304,High,,explorer.exe,4200,7a3f9c2e1b8d4f6a0c5e9d3b7a2f1c8e4d6b9a0,a7f3c91e2b8d4f6a0c1e5d9b3a7f2c8e1d4b6a9f0c3e7d2b5a8f1c4e9d6b3a7f2,None,0,Microsoft Corporation,dotnet.exe,10.0,dotnet.exe,dotnet.exe,dotnet.exe,10.24.18.55,Private,52004,Engineering-Developers,Tcp,151.101.1.41,Public,443,https://api.nuget.org/v3/index.json,8829100000504,2026-05-28T08:21:00Z,2026-05-28T08:21:00Z,2026-05-28T08:21:00Z,2026-05-28T08:21:00Z,1,0,,,ip-nuget,Detection,DeviceNetworkEvents
tenant-lab-001-a000-0000-0000-000000000001,ConnectionSuccess,"{""BenignCacheVerify"":true}",,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,creditsafe.com,jordan.velez,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,S-1-5-21-1000000000-2000000000-3000000000-104421,jordan.velez@creditsafe.com,npm.exe network activity,npm.exe,C:\Program Files,4305,High,,explorer.exe,4200,7a3f9c2e1b8d4f6a0c5e9d3b7a2f1c8e4d6b9a0,a7f3c91e2b8d4f6a0c1e5d9b3a7f2c8e1d4b6a9f0c3e7d2b5a8f1c4e9d6b3a7f2,None,0,Microsoft Corporation,npm.exe,10.0,npm.exe,npm.exe,npm.exe,10.24.18.55,Private,52005,Engineering-Developers,Tcp,104.16.0.1,Public,443,https://registry.npmjs.org/-/ping,8829100000505,2026-05-28T09:23:00Z,2026-05-28T09:23:00Z,2026-05-28T09:23:00Z,2026-05-28T09:23:00Z,1,0,,,ip-npm-ping,Detection,DeviceNetworkEvents
tenant-lab-001-a000-0000-0000-000000000001,ConnectionSuccess,"{""BenignBrowsing"":true}",,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,creditsafe.com,jordan.velez,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,S-1-5-21-1000000000-2000000000-3000000000-104421,jordan.velez@creditsafe.com,chrome.exe network activity,chrome.exe,C:\Program Files,4306,High,,explorer.exe,4200,7a3f9c2e1b8d4f6a0c5e9d3b7a2f1c8e4d6b9a0,a7f3c91e2b8d4f6a0c1e5d9b3a7f2c8e1d4b6a9f0c3e7d2b5a8f1c4e9d6b3a7f2,None,0,Microsoft Corporation,chrome.exe,10.0,chrome.exe,chrome.exe,chrome.exe,10.24.18.55,Private,52006,Engineering-Developers,Tcp,198.51.100.0,Public,443,https://example0.com,8829100000506,2026-05-28T13:00:00Z,2026-05-28T13:00:00Z,2026-05-28T13:00:00Z,2026-05-28T13:00:00Z,1,0,,,ip-chrome-0,Detection,DeviceNetworkEvents
tenant-lab-001-a000-0000-0000-000000000001,ConnectionSuccess,"{""BenignBrowsing"":true}",,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,creditsafe.com,jordan.velez,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,S-1-5-21-1000000000-2000000000-3000000000-104421,jordan.velez@creditsafe.com,chrome.exe network activity,chrome.exe,C:\Program Files,4307,High,,explorer.exe,4200,7a3f9c2e1b8d4f6a0c5e9d3b7a2f1c8e4d6b9a0,a7f3c91e2b8d4f6a0c1e5d9b3a7f2c8e1d4b6a9f0c3e7d2b5a8f1c4e9d6b3a7f2,None,0,Microsoft Corporation,chrome.exe,10.0,chrome.exe,chrome.exe,chrome.exe,10.24.18.55,Private,52007,Engineering-Developers,Tcp,198.51.100.1,Public,443,https://example1.com,8829100000507,2026-05-28T13:01:01Z,2026-05-28T13:01:01Z,2026-05-28T13:01:01Z,2026-05-28T13:01:01Z,1,0,,,ip-chrome-1,Detection,DeviceNetworkEvents
tenant-lab-001-a000-0000-0000-000000000001,ConnectionSuccess,"{""BenignBrowsing"":true}",,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,creditsafe.com,jordan.velez,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,S-1-5-21-1000000000-2000000000-3000000000-104421,jordan.velez@creditsafe.com,chrome.exe network activity,chrome.exe,C:\Program Files,4308,High,,explorer.exe,4200,7a3f9c2e1b8d4f6a0c5e9d3b7a2f1c8e4d6b9a0,a7f3c91e2b8d4f6a0c1e5d9b3a7f2c8e1d4b6a9f0c3e7d2b5a8f1c4e9d6b3a7f2,None,0,Microsoft Corporation,chrome.exe,10.0,chrome.exe,chrome.exe,chrome.exe,10.24.18.55,Private,52008,Engineering-Developers,Tcp,198.51.100.2,Public,443,https://example2.com,8829100000508,2026-05-28T13:02:02Z,2026-05-28T13:02:02Z,2026-05-28T13:02:02Z,2026-05-28T13:02:02Z,1,0,,,ip-chrome-2,Detection,DeviceNetworkEvents
tenant-lab-001-a000-0000-0000-000000000001,ConnectionSuccess,"{""BenignBrowsing"":true}",,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,CS-DEV-01982,creditsafe.com,jordan.velez,8f3a2b1c-4d5e-6a7b-8c9d-0e1f2a3b4c5d,S-1-5-21-1000000000-2000000000-3000000000-104421,jordan.velez@creditsafe.com,chrome.exe network activity,chrome.exe,C:\Program Files,4309,High,,explorer.exe,4200,7a3f9c2e1b8d4f6a0c5e9d3b7a2f1c8e4d6b9a0,a7f3c91e2b8d4f6a0c1e5d9b3a7f2c8e1d4b6a9f0c3e7d2b5a8f1c4e9d6b3a7f2,None,0,Microsoft Corporation,chrome.exe,10.0,chrome.exe,chrome.exe,chrome.exe,10.24.18.55,Private,52009,Engineering-Developers,Tcp,198.51.100.3,Public,443,https://example3.com,8829100000509,2026-05-28T13:03:03Z,2026-05-28T13:03:03Z,2026-05-28T13:03:03Z,2026-05-28T13:03:03Z,1,0,,,ip-chrome-3,Detection,DeviceNetworkEvents
